course_id;course_name;course_type;course_period;vacancies;campus;city;state_uf;university;uni_abrev
121015;SECRETARIADO EXECUTIVO;Bacharelado;Noturno;0;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121017;AGRONOMIA;Bacharelado;Integral;15;CAMPUS CURITIBANOS;Curitibanos;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121018;SISTEMA DE INFORMAÇÃO;Bacharelado;Noturno;15;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121019;ENGENHARIA AEROESPACIAL;Bacharelado;Integral;7;CAMPUS DE JOINVILLE;Joinville;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121020;SERVIÇO SOCIAL;Bacharelado;Noturno;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121021;ENGENHARIA DE MATERIAIS;Bacharelado;Integral;15;CAMPUS BLUMENAU - SEDE ADMINISTRATIVA;Blumenau;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121022;ENGENHARIA DE MATERIAIS;Bacharelado;Integral;10;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121023;PSICOLOGIA;Bacharelado;Integral;13;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121024;ABI - CIÊNCIAS SOCIAIS;Área Básica de Ingresso (ABI);Matutino;12;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121025;ENGENHARIA DE CONTROLE E AUTOMAÇÃO;Bacharelado;Integral;10;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121026;ENGENHARIA DE ALIMENTOS;Bacharelado;Integral;7;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121027;CINEMA;Bacharelado;Integral;9;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121028;ENGENHARIA MECATRÔNICA;Bacharelado;Integral;7;CAMPUS DE JOINVILLE;Joinville;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121029;MATEMÁTICA;Licenciatura;Noturno;0;CAMPUS BLUMENAU - SEDE ADMINISTRATIVA;Blumenau;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121030;ENGENHARIA CIVIL;Bacharelado;Integral;16;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
121031;ABI - HISTÓRIA;Área Básica de Ingresso (ABI);Matutino;13;CAMPUS UNIVERSITÁRIO REITOR JOÃO DAVID FERREIRA LIMA;Florianópolis;SC;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UFSC
